restaurant_name,cuisine,rating,number_of_ratings,average_price,number_of_offers,offer_name,area,pure_veg,location,price_num,ratings_count,primary_cuisine,is_veg,num_offers
The Maya Cafe (Nita Enterprise ),"Chinese, Indian",4.3,10+ ratings,₹400 for two,2,"40% OFF UPTO ₹80
USE TRYNEWABOVE ₹159, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Barasat,No,Kolkata,400.0,10.0,Chinese,0,2
The Babar Biryani,Biryani,0.0,Too Few Ratings,₹600 for two,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Dumdum,No,Kolkata,600.0,0.0,Biryani,0,1
Twist N Taste,"North Indian, Chinese",4.1,10+ ratings,₹199 for two,2,"20% OFF UPTO ₹50
USE TRYNEWABOVE ₹159, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Belghoria,No,Kolkata,199.0,10.0,North Indian,0,2
Food Express@99,"Snacks, American",3.9,100+ ratings,₹200 for two,4,"20% OFF UPTO ₹50
USE TRYNEWABOVE ₹159, FLAT DEAL
FLAT 20% OFF
USE PARTYABOVE ₹700, FLAT DEAL
FLAT ₹250 OFF
USE FLATDEALABOVE ₹999, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Barasat,No,Kolkata,200.0,100.0,Snacks,0,4
Sivalika Kitchen,"Chinese, Indian",4.5,500+ ratings,₹400 for two,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Belur Math,No,Kolkata,400.0,500.0,Chinese,0,1
Riddhi Shiddhi,"North Indian, Indian",3.5,20+ ratings,₹150 for two,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Lake Town,Yes,Kolkata,150.0,20.0,North Indian,1,1
The Burger King,"Fast Food, Snacks",2.5,100+ ratings,₹200 for two,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Chinar Park,No,Kolkata,200.0,100.0,Fast Food,0,1
South Indian Street,Indian,3.4,10+ ratings,₹200 for two,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Barasat,Yes,Kolkata,200.0,10.0,Indian,1,1
Sholay Kitchen,"Chinese, Bengali",4.5,100+ ratings,₹300 for two,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Jessore Road,No,Kolkata,300.0,100.0,Chinese,0,1
Soumya'S Kitchen,North Indian,3.7,500+ ratings,₹200 for two,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Bally,No,Kolkata,200.0,500.0,North Indian,0,1
Laltu'S Golbari,"Indian, Chinese",4.4,1K+ ratings,₹300 for two,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",North Dumdum,No,Kolkata,300.0,1000.0,Indian,0,1
May - Queen,"Chinese, Snacks",3.9,10+ ratings,₹198 for two,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",DURGANAGAR,No,Kolkata,198.0,10.0,Chinese,0,1
Darshan The Grill Bbq,"Chinese, Biryani",5.0,3 ratings,₹450 for two,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500","110jaitndra mohan ave ,sovabazar",No,Kolkata,450.0,3.0,Chinese,0,1
Maa Annapurna Home Kitchen,"Snacks, Thalis",3.6,100+ ratings,₹150 for two,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Barasat,No,Kolkata,150.0,100.0,Snacks,0,1
New Indian Biryani,Biryani,3.8,20+ ratings,₹100 for two,2,"20% OFF UPTO ₹50
USE TRYNEWABOVE ₹159, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Chinar Park,No,Kolkata,100.0,20.0,Biryani,0,2
Adda'63,Chinese,0.0,Too Few Ratings,₹350 for two,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Dumdum,No,Kolkata,350.0,0.0,Chinese,0,1
Keralam Dosa,South Indian,0.0,No Ratings,₹200 for two,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Dumdum,Yes,Kolkata,200.0,0.0,South Indian,1,1
The Seasoning,"Chinese, Beverages",4.4,10+ ratings,₹300 for two,2,"SAVE BIG
25% OFF UPTO ₹125
USE JUMBOABOVE ₹479, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Barasat,No,Kolkata,300.0,10.0,Chinese,0,2
Combo Junction,"Chinese, Indian",4.9,20+ ratings,₹250 for two,5,"30% OFF UPTO ₹75
USE TRYNEWABOVE ₹159, FLAT DEAL
FLAT 15% OFF
USE PARTYABOVE ₹1200, FLAT DEAL
FLAT ₹125 OFF
USE FLATDEALABOVE ₹999, SAVE BIG
20% OFF UPTO ₹100
USE JUMBOABOVE ₹479, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Dumdum,No,Kolkata,250.0,20.0,Chinese,0,5
Hotel Orbit,"Tandoor, Biryani",4.1,100+ ratings,₹500 for two,2,"SAVE BIG
10% OFF UPTO ₹100
USE JUMBOABOVE ₹479, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Bally,No,Kolkata,500.0,100.0,Tandoor,0,2
Gita Ranis Suswadu Hesel,"Bengali, Indian",3.1,100+ ratings,₹200 for two,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Dum Dum,No,Kolkata,200.0,100.0,Bengali,0,1
Lokenath Restaurant,"Indian, Biryani",3.8,500+ ratings,₹250 for two,3,"20% OFF UPTO ₹50
USE TRYNEWABOVE ₹149, SAVE BIG
20% OFF UPTO ₹120
USE JUMBOABOVE ₹479, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Baranagar,No,Kolkata,250.0,500.0,Indian,0,3
Burgers By Fryde,"Burgers, Snacks",4.0,100+ ratings,₹200 for two,4,"40% OFF UPTO ₹80
USE TRYNEWABOVE ₹159, Free Cool Blue
NO CODE REQUIREDABOVE ₹336, FLAT DEAL
FLAT 20% OFF
USE PARTYABOVE ₹500, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Belghoria,No,Kolkata,200.0,100.0,Burgers,0,4
Kalpataru Hotel & Restaurant,Indian,3.8,500+ ratings,₹300 for two,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Bally,No,Kolkata,300.0,500.0,Indian,0,1
Tok Of The Town,"Fast Food, Chinese",3.9,20+ ratings,₹400 for two,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Dumdum,No,Kolkata,400.0,20.0,Fast Food,0,1
The Cloud Cuisine,"Chinese, Seafood",4.6,10+ ratings,₹300 for two,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",LAKETOWN,No,Kolkata,300.0,10.0,Chinese,0,1
Treat & Bite,"Chinese, Snacks",4.4,100+ ratings,₹200 for two,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Sinthee,No,Kolkata,200.0,100.0,Chinese,0,1
A-One Haji Biryani,Biryani,3.2,4 ratings,₹200 for two,3,"20% OFF UPTO ₹50
USE TRYNEWABOVE ₹179, FLAT DEAL
FLAT ₹150 OFF
USE FLATDEALABOVE ₹999, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Bally,No,Kolkata,200.0,4.0,Biryani,0,3
THE BURGER BAE,"Burgers, Beverages",4.3,10+ ratings,₹500 for two,4,"50% OFF UPTO ₹100
USE TRYNEWABOVE ₹179, FLAT DEAL
FLAT ₹200 OFF
USE FLATDEALABOVE ₹999, SAVE BIG
30% OFF UPTO ₹150
USE JUMBOABOVE ₹479, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Lake Town,Yes,Kolkata,500.0,10.0,Burgers,1,4
Rehan Refreshment,Indian,4.4,5 ratings,₹200 for two,4,"10% OFF UPTO ₹40
USE TRYNEWABOVE ₹179, FLAT DEAL
FLAT 20% OFF
USE PARTYABOVE ₹700, FLAT DEAL
FLAT ₹100 OFF
USE FLATDEALABOVE ₹499, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Belghoria,No,Kolkata,200.0,5.0,Indian,0,4
Arabistaan,Biryani,0.0,Too Few Ratings,₹200 for two,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Madhyamgram,No,Kolkata,200.0,0.0,Biryani,0,1
Deshi 6,"South Indian, Snacks",4.8,6 ratings,₹50 for two,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Belghoria,Yes,Kolkata,50.0,6.0,South Indian,1,1
Tandoor-E-Night,"Biryani, Chinese",4.4,100+ ratings,₹200 for two,3,"FLAT DEAL
FLAT ₹100 OFF
USE FLATDEALABOVE ₹599, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500, SAVE BIG
15% OFF UPTO ₹80
USE JUMBOABOVE ₹479",Dumdum,No,Kolkata,200.0,100.0,Biryani,0,3
Wrap N Kebabs By Tandoor Box,"North Indian, Tandoor",4.3,10+ ratings,₹400 for two,2,"FLAT DEAL
FLAT ₹150 OFF
USE FLATDEALABOVE ₹749, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Dumdum,No,Kolkata,400.0,10.0,North Indian,0,2
Purnima Milk Centre,Sweets,4.2,100+ ratings,₹100 for two,4,"FLAT DEAL
FLAT 10% OFF
USE PARTYABOVE ₹1000, FLAT DEAL
FLAT ₹100 OFF
USE FLATDEALABOVE ₹999, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500, FLAT 10% OFF
USE TRYNEWABOVE ₹159",Barasat,Yes,Kolkata,100.0,100.0,Sweets,1,4
Mili Restaurant And Caterer,"North Indian, Chinese",4.1,20+ ratings,₹200 for two,4,"FLAT DEAL
FLAT 20% OFF
USE PARTYABOVE ₹1900, FLAT DEAL
FLAT ₹100 OFF
USE FLATDEALABOVE ₹999, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500, SAVE BIG
15% OFF UPTO ₹80
USE JUMBOABOVE ₹479",Dumdum,No,Kolkata,200.0,20.0,North Indian,0,4
The Kolkata Canteen,"Indian, Chinese",0.0,No Ratings,₹500 for two,2,"15% OFF UPTO ₹45
USE TRYNEWABOVE ₹159, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Dumdum,No,Kolkata,500.0,0.0,Indian,0,2
Chayer Bari,"Chinese, Italian-American",3.2,20+ ratings,₹200 for two,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Belghoria,No,Kolkata,200.0,20.0,Chinese,0,1
Killer Kebab House,"Kebabs, Indian",2.9,20+ ratings,₹600 for two,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Dumdum,No,Kolkata,600.0,20.0,Kebabs,0,1
Bangaliyana,"Bengali, Fast Food",3.6,50+ ratings,₹300 for two,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Dumdum,No,Kolkata,300.0,50.0,Bengali,0,1
Back Bencher'S Adda,"Snacks, Chinese",5.0,3 ratings,₹200 for two,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Shyambazar,No,Kolkata,200.0,3.0,Snacks,0,1
Rakshit Cakes And Restaurant,"Bakery, Desserts",3.9,1K+ ratings,₹250 for two,3,"60% OFF UPTO ₹120
USE TRYNEWABOVE ₹159, FLAT DEAL
FLAT ₹100 OFF
USE FLATDEALABOVE ₹599, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Paikpara,No,Kolkata,250.0,1000.0,Bakery,0,3
Nastha Ghar,"South Indian, Snacks",4.9,10+ ratings,₹100 for two,5,"10% OFF UPTO ₹40
USE TRYNEWABOVE ₹159, FLAT DEAL
FLAT 25% OFF
USE PARTYABOVE ₹1000, FLAT DEAL
FLAT ₹150 OFF
USE FLATDEALABOVE ₹749, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500, SAVE BIG
15% OFF UPTO ₹80
USE JUMBOABOVE ₹479",Dumdum,No,Kolkata,100.0,10.0,South Indian,0,5
New Mezban Biryani,"Biryani, Snacks",4.5,5 ratings,₹310 for two,2,"FLAT DEAL
FLAT ₹100 OFF
USE FLATDEALABOVE ₹499, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Chinar Park,No,Kolkata,310.0,5.0,Biryani,0,2
Adda Bites,Chinese,4.1,100+ ratings,₹250 for two,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Barrackpore,No,Kolkata,250.0,100.0,Chinese,0,1
Cuisine Of China,"Chinese, Fast Food",3.3,100+ ratings,₹200 for two,5,"50% OFF UPTO ₹100
USE TRYNEWABOVE ₹159, FLAT DEAL
FLAT 20% OFF
USE PARTYABOVE ₹900, FLAT DEAL
FLAT ₹250 OFF
USE FLATDEALABOVE ₹999, SAVE BIG
30% OFF UPTO ₹150
USE JUMBOABOVE ₹479, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",KHARDAH,No,Kolkata,200.0,100.0,Chinese,0,5
Arambagh Fried Chicken,Biryani,0.0,Too Few Ratings,₹200 for two,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",CHAMPADALI MORE BARASAT,No,Kolkata,200.0,0.0,Biryani,0,1
Mota Moti Cafe,"Snacks, American",4.4,20+ ratings,₹150 for two,4,"FLAT DEAL
FLAT 10% OFF
USE PARTYABOVE ₹1500, FLAT DEAL
FLAT ₹100 OFF
USE FLATDEALABOVE ₹999, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500, FLAT 10% OFF
USE TRYNEWABOVE ₹159",Shyambazar,No,Kolkata,150.0,20.0,Snacks,0,4
Ashirbad Restaurant,"Indian, Chinese",4.6,50+ ratings,₹450 for two,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Dumdum,No,Kolkata,450.0,50.0,Indian,0,1
Swaad-E-Bahar,"Biryani, Desserts",4.2,20+ ratings,₹200 for two,2,"40% OFF UPTO ₹80
USE TRYNEWABOVE ₹159, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Belghoria,No,Kolkata,200.0,20.0,Biryani,0,2
The Junkyard,"Chinese, Indian",4.5,100+ ratings,₹300 for two,5,"40% OFF UPTO ₹80
USE TRYNEWABOVE ₹179, FLAT DEAL
FLAT 20% OFF
USE PARTYABOVE ₹700, FLAT DEAL
FLAT ₹250 OFF
USE FLATDEALABOVE ₹999, SAVE BIG
30% OFF UPTO ₹150
USE JUMBOABOVE ₹479, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Shyam Bazar,No,Kolkata,300.0,100.0,Chinese,0,5
The Bong Biryani,"Biryani, North Indian",3.8,100+ ratings,₹180 for two,3,"20% OFF UPTO ₹50
USE TRYNEWABOVE ₹159, FLAT DEAL
FLAT 20% OFF
USE PARTYABOVE ₹700, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Dumdum,No,Kolkata,180.0,100.0,Biryani,0,3
The Rani Biryani,"Biryani, Indian",3.0,100+ ratings,₹200 for two,4,"10% OFF UPTO ₹40
USE TRYNEWABOVE ₹159, FLAT DEAL
FLAT 25% OFF
USE PARTYABOVE ₹500, FLAT DEAL
FLAT ₹150 OFF
USE FLATDEALABOVE ₹599, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Arif bari,No,Kolkata,200.0,100.0,Biryani,0,4
Binita'S Kitchen,Indian,3.3,7 ratings,₹400 for two,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Chinar Park,No,Kolkata,400.0,7.0,Indian,0,1
Biriyanir Aturghar,Biryani,4.3,20+ ratings,₹300 for two,3,"60% OFF UPTO ₹120
USE TRYNEWABOVE ₹159, FLAT DEAL
FLAT ₹250 OFF
USE FLATDEALABOVE ₹999, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Alankit Tower,No,Kolkata,300.0,20.0,Biryani,0,3
Foodbox.Com,"Chinese, Fast Food",3.8,100+ ratings,₹350 for two,3,"50% OFF UPTO ₹100
USE TRYNEWABOVE ₹159, FLAT DEAL
FLAT ₹150 OFF
USE FLATDEALABOVE ₹499, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Bally,No,Kolkata,350.0,100.0,Chinese,0,3
Harmoni'S Kitchen,"Indian, Thalis",3.7,10+ ratings,₹300 for two,2,"10% OFF UPTO ₹40
USE TRYNEWABOVE ₹159, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Dumdum,No,Kolkata,300.0,10.0,Indian,0,2
Hunger Hop,"North Indian, South Indian",3.5,100+ ratings,₹200 for two,3,"20% OFF UPTO ₹50
USE TRYNEWABOVE ₹159, FLAT DEAL
FLAT 20% OFF
USE PARTYABOVE ₹700, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Patipukur,Yes,Kolkata,200.0,100.0,North Indian,1,3
Only 4 Chinese - Gazab,Chinese,4.4,1K+ ratings,₹300 for two,1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Shyam Bazar,No,Kolkata,300.0,1000.0,Chinese,0,1
