restaurant_name,cuisine,rating,offer_name,area,pure_veg,location,price_num,ratings_count,primary_cuisine,is_veg,num_offers,avg_rating_by_cuisine,value_index,price_band,demand_index,rating_band,offer_tier,reliable_rating
Shree Ganesh Fruit Juice,"Ice Cream, Snacks",4.2,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Rajajinagar,Yes,Bangalore,150.0,100.0,Ice Cream,1,1,4.292817679558011,2.8,Budget (<Rs150),1166.0867678958784,Good (4.0-4.5),Low (1-2),1
Saarangi Fine Dining,"Chinese, North Indian",4.3,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Jayanagar,Yes,Bangalore,250.0,1000.0,Chinese,1,1,3.9882028665931646,1.72,Mid (Rs150-300),1166.0867678958784,Good (4.0-4.5),Low (1-2),1
Meat And Eat,"Desserts, Fast Food",3.5,"40% OFF UPTO ₹80
USE TRYNEWABOVE ₹179, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Banashankari,No,Bangalore,400.0,100.0,Desserts,0,2,4.173720136518772,0.875,Premium (Rs300-500),1166.0867678958784,Below Avg (3.0-3.5),Low (1-2),1
Beyond Healthy,"Italian, Pizzas",3.7,"30% OFF UPTO ₹75
USE TRYNEWABOVE ₹159, FLAT DEAL
FLAT 15% OFF
USE PARTYABOVE ₹600, FLAT DEAL
FLAT ₹125 OFF
USE FLATDEALABOVE ₹599, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Basavanagudi,Yes,Bangalore,200.0,5.0,Italian,1,4,4.0,1.85,Mid (Rs150-300),1166.0867678958784,Average (3.5-4.0),High (3+),0
Gowhey- Healthy Dessert Company,"Desserts, Ice Cream",4.3,"30% OFF UPTO ₹75
USE TRYNEWABOVE ₹159, FLAT DEAL
FLAT 15% OFF
USE PARTYABOVE ₹600, FLAT DEAL
FLAT ₹125 OFF
USE FLATDEALABOVE ₹599, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Chamrajpet,Yes,Bangalore,200.0,50.0,Desserts,1,4,4.173720136518772,2.15,Mid (Rs150-300),1166.0867678958784,Good (4.0-4.5),High (3+),1
Flying Kombucha,"Healthy Food, Beverages",4.4,"30% OFF UPTO ₹75
USE TRYNEWABOVE ₹159, Free Apple Kombucha - Natural Sparkling Juice
NO CODE REQUIREDABOVE ₹799, FLAT DEAL
FLAT ₹75 OFF
USE SNACKSBINGEABOVE ₹299, FLAT DEAL
FLAT 10% OFF
USE PARTYABOVE ₹1500, FLAT DEAL
FLAT ₹100 OFF
USE FLATDEALABOVE ₹599",Binnipete,Yes,Bangalore,200.0,20.0,Healthy Food,1,5,4.303614457831325,2.2,Mid (Rs150-300),1166.0867678958784,Good (4.0-4.5),High (3+),1
O2 Juice Bar,"Juices, Beverages",5.0,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Jayanagar,Yes,Bangalore,200.0,3.0,Juices,1,1,4.190625,2.5,Mid (Rs150-300),1166.0867678958784,Excellent (4.5+),Low (1-2),0
Burnout Cafe,"Continental, Chinese",4.1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Infantry Road,No,Bangalore,200.0,10.0,Continental,0,1,3.966666666666667,2.05,Mid (Rs150-300),1166.0867678958784,Good (4.0-4.5),Low (1-2),1
Utse Kitchen,"Chinese, Tibetan",4.1,"40% OFF UPTO ₹80
USE TRYNEWABOVE ₹159, FLAT DEAL
FLAT 10% OFF
USE PARTYABOVE ₹1000, SAVE BIG
20% OFF UPTO ₹100
USE JUMBOABOVE ₹479, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Shivaji Nagar,No,Bangalore,500.0,1000.0,Chinese,0,4,3.9882028665931646,0.82,Premium (Rs300-500),1166.0867678958784,Good (4.0-4.5),High (3+),1
Bakhlavaji,Desserts,3.9,"30% OFF UPTO ₹75
USE TRYNEWABOVE ₹159, FLAT DEAL
FLAT ₹250 OFF
USE FLATDEALABOVE ₹999, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Tavarekere,Yes,Bangalore,500.0,20.0,Desserts,1,3,4.173720136518772,0.78,Premium (Rs300-500),1166.0867678958784,Average (3.5-4.0),High (3+),1
Hot Burger Company,"Bakery, Snacks",3.4,"60% OFF UPTO ₹120
USE TRYNEWABOVE ₹159, FLAT DEAL
FLAT ₹125 OFF
USE FLAT125ABOVE ₹299, FLAT DEAL
FLAT 10% OFF
USE PARTYABOVE ₹450, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Koramangala,No,Bangalore,180.0,20.0,Bakery,0,4,4.052369668246445,1.8889,Mid (Rs150-300),1166.0867678958784,Below Avg (3.0-3.5),High (3+),1
Sheeshkebab Xpress,"Kebabs, Biryani",4.5,"FLAT DEAL
FLAT 10% OFF
USE PARTYABOVE ₹1000, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500, SAVE BIG
10% OFF UPTO ₹80
USE JUMBOABOVE ₹600",Central Bangalore,No,Bangalore,300.0,10.0,Kebabs,0,3,4.017241379310345,1.5,Mid (Rs150-300),1166.0867678958784,Good (4.0-4.5),High (3+),1
FoodX Restaurant,"Indian, Chinese",4.1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Vasanth Nagar,No,Bangalore,200.0,100.0,Indian,0,1,3.951452282157676,2.05,Mid (Rs150-300),1166.0867678958784,Good (4.0-4.5),Low (1-2),1
Cafe Socialize,"Desserts, Beverages",4.6,"10% OFF UPTO ₹40
USE TRYNEWABOVE ₹159, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Basaveshwar Nagar,No,Bangalore,700.0,100.0,Desserts,0,2,4.173720136518772,0.6571,Luxury (Rs500+),1166.0867678958784,Excellent (4.5+),Low (1-2),1
Allana Kabab,"Kebabs, Indian",4.0,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Austin Town,No,Bangalore,250.0,20.0,Kebabs,0,1,4.017241379310345,1.6,Mid (Rs150-300),1166.0867678958784,Average (3.5-4.0),Low (1-2),1
Patios - Progressive Vegetarian Kitchen,"Pan-Asian, North Indian",4.2,"FLAT DEAL
FLAT 20% OFF
USE PARTYABOVE ₹1000, FLAT DEAL
FLAT ₹150 OFF
USE FLAT150ABOVE ₹799, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Jayanagar,Yes,Bangalore,300.0,100.0,Pan-Asian,1,3,4.328571428571428,1.4,Mid (Rs150-300),1166.0867678958784,Good (4.0-4.5),High (3+),1
The Paan Studio,Paan,4.3,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Jayanagar,Yes,Bangalore,400.0,100.0,Paan,1,1,4.56551724137931,1.075,Premium (Rs300-500),1166.0867678958784,Good (4.0-4.5),Low (1-2),1
Al Fillfilah Mandi Majlis,Arabian,4.1,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Jayanagar,No,Bangalore,250.0,100.0,Arabian,0,1,3.8302631578947373,1.64,Mid (Rs150-300),1166.0867678958784,Good (4.0-4.5),Low (1-2),1
Attamma'S Cuisine,"South Indian, Snacks",3.6,"20% OFF UPTO ₹50
USE TRYNEWABOVE ₹159, FLAT DEAL
FLAT ₹50 OFF
USE FLATDEALABOVE ₹499, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Jayanagar,No,Bangalore,300.0,5.0,South Indian,0,3,4.09877408056042,1.2,Mid (Rs150-300),1166.0867678958784,Average (3.5-4.0),High (3+),0
Eshanya The Restaurant,"North Indian, Chinese",4.2,"FLAT DEAL
FLAT 10% OFF
USE PARTYABOVE ₹1000, FLAT DEAL
FLAT ₹100 OFF
USE FLATDEALABOVE ₹999, SAVE BIG
30% OFF UPTO ₹150
USE JUMBOABOVE ₹479, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Jayanagar,No,Bangalore,800.0,5000.0,North Indian,0,4,4.0570346320346315,0.525,Luxury (Rs500+),1166.0867678958784,Good (4.0-4.5),High (3+),1
New Donne Biriyani Mane,"Biryani, Indian",3.4,"50% OFF UPTO ₹100
USE TRYNEWABOVE ₹159, FLAT DEAL
FLAT 20% OFF
USE PARTYABOVE ₹700, FLAT DEAL
FLAT ₹250 OFF
USE FLATDEALABOVE ₹999, SAVE BIG
30% OFF UPTO ₹150
USE JUMBOABOVE ₹479, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Banashankari,No,Bangalore,300.0,100.0,Biryani,0,5,3.829276895943562,1.1333,Mid (Rs150-300),1166.0867678958784,Below Avg (3.0-3.5),High (3+),1
Bhagyalakshmi Butter Gulkand Stores,Desserts,4.6,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Malleshwaram,Yes,Bangalore,200.0,50.0,Desserts,1,1,4.173720136518772,2.3,Mid (Rs150-300),1166.0867678958784,Excellent (4.5+),Low (1-2),1
SLV Grand,"North Indian, Chinese",3.5,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Ashok Nagar,Yes,Bangalore,200.0,100.0,North Indian,1,1,4.0570346320346315,1.75,Mid (Rs150-300),1166.0867678958784,Below Avg (3.0-3.5),Low (1-2),1
1522 The Pub - Residency Road,"Chinese, Coastal",4.1,"20% OFF UPTO ₹50
USE TRYNEWABOVE ₹159, Free PeantMasala
NO CODE REQUIREDABOVE ₹598, FLAT DEAL
FLAT 10% OFF
USE PARTYABOVE ₹1200, FLAT DEAL
FLAT ₹100 OFF
USE FLATDEALABOVE ₹749, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Residency Road,No,Bangalore,600.0,500.0,Chinese,0,5,3.9882028665931646,0.6833,Luxury (Rs500+),1166.0867678958784,Good (4.0-4.5),High (3+),1
Roof Tap,"North Indian, Chinese",4.6,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Banashankari,No,Bangalore,500.0,1000.0,North Indian,0,1,4.0570346320346315,0.92,Premium (Rs300-500),1166.0867678958784,Excellent (4.5+),Low (1-2),1
SPICE N NICE,Biryani,4.3,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Austin Town,No,Bangalore,200.0,4.0,Biryani,0,1,3.829276895943562,2.15,Mid (Rs150-300),1166.0867678958784,Good (4.0-4.5),Low (1-2),0
Md Food Court,South Indian,4.0,"30% OFF UPTO ₹75
USE TRYNEWABOVE ₹159, FLAT DEAL
FLAT 20% OFF
USE PARTYABOVE ₹500, SAVE BIG
20% OFF UPTO ₹100
USE JUMBOABOVE ₹479, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Jayanagar,No,Bangalore,350.0,10.0,South Indian,0,4,4.09877408056042,1.1429,Premium (Rs300-500),1166.0867678958784,Average (3.5-4.0),High (3+),1
Shree Vasavi Chats,"Chaat, Pastas",4.4,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Jayanagar,Yes,Bangalore,200.0,20.0,Chaat,1,1,4.076923076923077,2.2,Mid (Rs150-300),1166.0867678958784,Good (4.0-4.5),Low (1-2),1
Palmgrove Ballal Residency,"Chinese, Coastal",4.6,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Ashok Nagar,No,Bangalore,400.0,5000.0,Chinese,0,1,3.9882028665931646,1.15,Premium (Rs300-500),1166.0867678958784,Excellent (4.5+),Low (1-2),1
Tottos Pizza,"Continental, Italian",4.5,"40% OFF UPTO ₹80
USE TRYNEWABOVE ₹179, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Ashok Nagar,No,Bangalore,500.0,100.0,Continental,0,2,3.966666666666667,0.9,Premium (Rs300-500),1166.0867678958784,Good (4.0-4.5),Low (1-2),1
Devanna Dum Biryani Corner,"Biryani, Indian",4.5,"20% OFF UPTO ₹50
USE TRYNEWABOVE ₹159, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Banashankari,No,Bangalore,300.0,100.0,Biryani,0,2,3.829276895943562,1.5,Mid (Rs150-300),1166.0867678958784,Good (4.0-4.5),Low (1-2),1
Klava- Turkish Patisserie,"Turkish, Desserts",4.4,"10% OFF UPTO ₹40
USE TRYNEWABOVE ₹159, FLAT DEAL
FLAT ₹40 OFF
USE FLATDEALABOVE ₹499, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Brigade Road,No,Bangalore,700.0,10.0,Turkish,0,3,4.24,0.6286,Luxury (Rs500+),1166.0867678958784,Good (4.0-4.5),High (3+),1
Le Bistro,"European, Italian",,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Ashok Nagar,No,Bangalore,1200.0,,European,0,1,4.283333333333333,,Luxury (Rs500+),1166.0867678958784,,Low (1-2),0
Little White Kitchen,"Chinese, Continental",4.6,"10% OFF UPTO ₹40
USE TRYNEWABOVE ₹179, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Ashok Nagar,No,Bangalore,300.0,1000.0,Chinese,0,2,3.9882028665931646,1.5333,Mid (Rs150-300),1166.0867678958784,Excellent (4.5+),Low (1-2),1
Biryani Blues,"Biryani, Kebabs",4.3,"50% OFF UPTO ₹100
USE TRYNEWABOVE ₹159, FLAT DEAL
FLAT ₹125 OFF
USE FLATDEALABOVE ₹399, FLAT DEAL
FLAT 15% OFF
USE PARTYABOVE ₹1000, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Church Street,No,Bangalore,400.0,1000.0,Biryani,0,4,3.829276895943562,1.075,Premium (Rs300-500),1166.0867678958784,Good (4.0-4.5),High (3+),1
Rolls Mania,Indian,4.1,"50% OFF UPTO ₹100
USE TRYNEWABOVE ₹179, FLAT DEAL
FLAT 20% OFF
USE PARTYABOVE ₹900, FLAT DEAL
FLAT ₹100 OFF
USE FLATDEALABOVE ₹499, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Central Bangalore,No,Bangalore,200.0,1000.0,Indian,0,4,3.951452282157676,2.05,Mid (Rs150-300),1166.0867678958784,Good (4.0-4.5),High (3+),1
New Modern Hotel,South Indian,4.6,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Basavanagudi,Yes,Bangalore,300.0,500.0,South Indian,1,1,4.09877408056042,1.5333,Mid (Rs150-300),1166.0867678958784,Excellent (4.5+),Low (1-2),1
Melting Cheese,Indian,3.6,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Basavanagudi,Yes,Bangalore,300.0,100.0,Indian,1,1,3.951452282157676,1.2,Mid (Rs150-300),1166.0867678958784,Average (3.5-4.0),Low (1-2),1
Navi Food Point,"North Indian, Snacks",4.2,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Basavanagudi,Yes,Bangalore,200.0,100.0,North Indian,1,1,4.0570346320346315,2.1,Mid (Rs150-300),1166.0867678958784,Good (4.0-4.5),Low (1-2),1
Southly Healthy By Adiga'S,"South Indian, Healthy Food",4.1,"50% OFF UPTO ₹100
USE TRYNEWABOVE ₹159, FLAT DEAL
FLAT 20% OFF
USE PARTYABOVE ₹600, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Majestic,Yes,Bangalore,200.0,100.0,South Indian,1,3,4.09877408056042,2.05,Mid (Rs150-300),1166.0867678958784,Good (4.0-4.5),High (3+),1
Patiala Lassi,Beverages,4.3,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Malleshwaram,Yes,Bangalore,200.0,50.0,Beverages,1,1,4.054568527918781,2.15,Mid (Rs150-300),1166.0867678958784,Good (4.0-4.5),Low (1-2),1
Waffle Magic,"Desserts, Beverages",3.4,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Commercial Street,Yes,Bangalore,200.0,100.0,Desserts,1,1,4.173720136518772,1.7,Mid (Rs150-300),1166.0867678958784,Below Avg (3.0-3.5),Low (1-2),1
Jalsa,"North Indian, Punjabi",3.8,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Seshadripuram,Yes,Bangalore,220.0,10.0,North Indian,1,1,4.0570346320346315,1.7273,Mid (Rs150-300),1166.0867678958784,Average (3.5-4.0),Low (1-2),1
Venezia,"Italian, Mexican",4.5,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Jayanagar,No,Bangalore,1000.0,100.0,Italian,0,1,4.0,0.45,Luxury (Rs500+),1166.0867678958784,Good (4.0-4.5),Low (1-2),1
Melts,"Tex-Mex, Pizzas",4.3,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Malleshwaram,Yes,Bangalore,500.0,20.0,Tex-Mex,1,1,4.3,0.86,Premium (Rs300-500),1166.0867678958784,Good (4.0-4.5),Low (1-2),1
SMOOR Gourmet Eats,"Asian, Burgers",5.0,"50% OFF UPTO ₹100
USE TRYNEWABOVE ₹179, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Jayanagar,No,Bangalore,800.0,3.0,Asian,0,2,4.245652173913044,0.625,Luxury (Rs500+),1166.0867678958784,Excellent (4.5+),Low (1-2),0
Woahffles,"Waffle, Desserts",4.4,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Central Bangalore,Yes,Bangalore,250.0,4.0,Waffle,1,1,4.140625,1.76,Mid (Rs150-300),1166.0867678958784,Good (4.0-4.5),Low (1-2),0
Farzi Cafe,"North Indian, Tandoor",3.7,"20% OFF UPTO ₹50
USE TRYNEWABOVE ₹159, FLAT DEAL
FLAT ₹150 OFF
USE FLAT150ABOVE ₹799, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Vittal Mallya Road,No,Bangalore,600.0,100.0,North Indian,0,3,4.0570346320346315,0.6167,Luxury (Rs500+),1166.0867678958784,Average (3.5-4.0),High (3+),1
Shake It Off,"Beverages, Desserts",4.4,"40% OFF UPTO ₹80
USE TRYNEWABOVE ₹179, FLAT DEAL
FLAT 25% OFF
USE PARTYABOVE ₹1000, FLAT DEAL
FLAT ₹100 OFF
USE FLATDEALABOVE ₹599, SAVE BIG
20% OFF UPTO ₹100
USE JUMBOABOVE ₹479, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Jayanagar,Yes,Bangalore,200.0,10000.0,Beverages,1,5,4.054568527918781,2.2,Mid (Rs150-300),1166.0867678958784,Good (4.0-4.5),High (3+),1
Maya Bangalore,"Continental, Pan-Asian",4.4,"FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Jayanagar,No,Bangalore,1500.0,100.0,Continental,0,1,3.966666666666667,0.2933,Luxury (Rs500+),1166.0867678958784,Good (4.0-4.5),Low (1-2),1
RCB Bar & Cafe,"Indian, Asian",4.0,"FLAT DEAL
FLAT ₹150 OFF
USE FLAT150ABOVE ₹999, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Church Street,No,Bangalore,750.0,100.0,Indian,0,2,3.951452282157676,0.5333,Luxury (Rs500+),1166.0867678958784,Average (3.5-4.0),Low (1-2),1
Gusto By PVR INOX,"Burgers, Pastas",3.7,"50% OFF UPTO ₹100
USE TRYNEWABOVE ₹199, FLAT DEAL
FLAT 20% OFF
USE PARTYABOVE ₹800, FLAT DEAL
FLAT ₹150 OFF
USE FLAT150ABOVE ₹499, FLAT ₹120 OFF
USE AXIS120ABOVE ₹500",Brigade Rd,No,Bangalore,500.0,20.0,Burgers,0,4,4.06969696969697,0.74,Premium (Rs300-500),1166.0867678958784,Average (3.5-4.0),High (3+),1
